[train] device: cuda | cpu threads: 4
[train] observation space: (4, 84, 84) uint8 | action space: 2
[train] CNN parameters: 1,685,154 | replay buffer ~5.64 GB (100,000 transitions)
[train] step   150,000/1,000,000 | eps 0.010 | ep_return    9.16 | ep_len     52 | updates   32,500 |   361 step/s
[train] step   152,000/1,000,000 | eps 0.010 | ep_return    9.15 | ep_len     52 | updates   33,000 |   361 step/s
[train] step   154,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   33,500 |   361 step/s
[train] step   156,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   34,000 |   360 step/s
[train] step   158,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   34,500 |   360 step/s
[train] step   160,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   35,000 |   360 step/s
[train] step   162,000/1,000,000 | eps 0.010 | ep_return    9.31 | ep_len     52 | updates   35,500 |   360 step/s
[train] step   164,000/1,000,000 | eps 0.010 | ep_return    9.37 | ep_len     52 | updates   36,000 |   360 step/s
[train] step   166,000/1,000,000 | eps 0.010 | ep_return    9.22 | ep_len     52 | updates   36,500 |   360 step/s
[train] step   168,000/1,000,000 | eps 0.010 | ep_return    9.23 | ep_len     52 | updates   37,000 |   359 step/s
[train] step   170,000/1,000,000 | eps 0.010 | ep_return    9.30 | ep_len     52 | updates   37,500 |   359 step/s
[train] step   172,000/1,000,000 | eps 0.010 | ep_return    9.32 | ep_len     52 | updates   38,000 |   359 step/s
[train] step   174,000/1,000,000 | eps 0.010 | ep_return    9.33 | ep_len     52 | updates   38,500 |   359 step/s
[train] step   176,000/1,000,000 | eps 0.010 | ep_return    9.34 | ep_len     52 | updates   39,000 |   359 step/s
[train] step   178,000/1,000,000 | eps 0.010 | ep_return    9.35 | ep_len     52 | updates   39,500 |   359 step/s
[train] step   180,000/1,000,000 | eps 0.010 | ep_return    9.40 | ep_len     52 | updates   40,000 |   358 step/s
[train] step   182,000/1,000,000 | eps 0.010 | ep_return    9.37 | ep_len     52 | updates   40,500 |   358 step/s
[train] step   184,000/1,000,000 | eps 0.010 | ep_return    9.27 | ep_len     52 | updates   41,000 |   358 step/s
